Building Address,"Building Type
(Commercial Buildings1, 
Healthcare Facilities2, 
Educational Institutions3)","Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Public Sector,Year Obtained TOP/CSC,Green Mark Year of Award,Green Mark Rating,"Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Gross Floor Area (m2),Percentage of Air-conditioned Floor Area (%),Average Monthly Building Occupancy Rate (%) ,Number of Hotel Rooms,Type of Air-conditioning System,"Age of Newest Chiller/Air-conditioner
",Centralised Air-conditioning Plant Efficiency (kW/RT),Year of Last Chiller Plant Audit/ Health Check,Percentage Usage of LED (%),Installation of Solar PV (Y/N),"2016
Energy Use Intensity (EUI)
(kWh/m2.yr) ","2017
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ","2018
Energy Use Intensity (EUI)
(kWh/m2.yr) ",EUI Performance Compared to the Previous Year (Improve/ Worsen),"Benchmarking - 
EUI Quartile",Voluntary Disclosure,postal_code,lat,lon,plan_area
"3 LIM TECK KIM ROAD, SINGAPORE 088934",Office,Small,No,1985.0,,,No,11908.0,0.7693987235471952,100.0,,Water Cooled Chilled Water Plant,30.0,,,10.0,N,261.16623698354044,249.80601696338596,224.2947934161908,Improved,3rd Quartile,Y,088934,1.27328869781097,103.842343825179,DOWNTOWN CORE
"8 SENTOSA GATEWAY, SINGAPORE 098269",Mixed Development,Large,No,2010.0,2017.0,Platinum,Yes,343000.0,0.6705539358600583,90.0,1614.0,District Cooling Plant,8.0,,,90.0,N,506.1954017492712,493.282615451895,484.68711516034983,Improved,Not benchmarked,Y,098269,1.25498909397858,103.82028484165,SOUTHERN ISLANDS
"63 DUNLOP STREET, SINGAPORE 209391",Hotel,Small,No,2011.0,,,No,793.0,0.4098360655737705,80.0,31.0,"Others (Split Units, Unitary Systems)",10.0,,,70.0,N,222.91192938209332,189.70229508196724,190.0562295081967,Worsened,2nd Quartile,Y,209391,1.30480301391279,103.853605003383,ROCHOR
"140 CECIL STREET, SINGAPORE 069540",Office,Small,No,1981.0,,,No,12656.0,0.7949589127686473,92.0,,Water Cooled Packaged Unit,10.0,,,3.0,N,303.75831226295827,285.79260113780026,299.87982932996204,Worsened,Bottom Quartile,Y,069540,0,0,NA
"333 NORTH BRIDGE ROAD, SINGAPORE 188721",Office,Small,No,1976.0,,,No,2699.0,0.7595405705816969,100.0,,"Others (Split Units, Unitary Systems)",7.0,,,0.0,N,498.3331270841052,473.8262282326788,492.7074583178956,Worsened,Bottom Quartile,Y,188721,1.29613874144379,103.853609529481,DOWNTOWN CORE
"79 ALIWAL STREET, SINGAPORE 199949",Hotel,Small,No,1997.0,,,No,1130.0,1.0,40.0,54.0,"Others (Split Units, Unitary Systems)",7.0,,,100.0,N,113.86582300884956,139.9940353982301,163.64437168141595,Worsened,Top Quartile,Y,199949,1.30341939306711,103.860234742576,ROCHOR
"3 INTERNATIONAL BUSINESS PARK, SINGAPORE 609927",Office,Large,No,2000.0,,,No,28378.0,0.9751215730495454,71.0,,Water Cooled Chilled Water Plant,2.0,,,75.0,N,142.42274508422017,118.05032172809922,117.75607759532032,Improved,Top Quartile,Y,609927,1.32702482428064,103.748355514202,JURONG EAST
"133 NEW BRIDGE ROAD, SINGAPORE 059413",Mixed Development,Large,No,1990.0,2018.0,Certified,Yes,51611.0,0.7465269031795547,93.0,,Water Cooled Chilled Water Plant,1.0,0.63,2015.0,10.0,N,384.7199525294995,344.7442649822712,322.12845110538456,Improved,3rd Quartile,Y,059413,1.28518516098542,103.844942912274,OUTRAM
"80 ROBINSON ROAD, SINGAPORE 068898",Office,Large,No,1997.0,,,No,31031.0,0.8324900905546067,80.0,,Water Cooled Chilled Water Plant,20.0,,,0.0,N,200.94721085366248,169.88936031710227,153.6145780026425,Improved,2nd Quartile,Y,068898,1.28013746997584,103.849316412731,DOWNTOWN CORE
"6 SHENTON WAY, SINGAPORE 068809",Office,Large,No,1974.0,2017.0,Certified,Yes,116055.0,0.9478264615914868,76.0,268.0,Water Cooled Chilled Water Plant,2.0,,,65.0,N,114.8496736891991,158.89715876093234,180.59866873465168,Worsened,2nd Quartile,Y,068809,1.27698070739425,103.848408630831,DOWNTOWN CORE
"16 UPPER CIRCULAR ROAD, SINGAPORE 058414",Office,Small,No,1987.0,,,No,612.0,0.9803921568627451,100.0,,Water Cooled Packaged Unit,3.0,,,0.0,N,160.9346405228758,164.07843137254903,166.5261437908497,Worsened,2nd Quartile,Y,058414,1.28868237978561,103.847942737865,SINGAPORE RIVER
"36 PURVIS STREET, SINGAPORE 188613",Mixed Development,Small,No,1999.0,,,No,2018.0,1.0,95.0,,"Others (Split Units, Unitary Systems)",3.0,,,0.0,N,534.3412983151635,522.1872150644202,537.470777998018,Worsened,Bottom Quartile,Y,188613,1.29652127167601,103.854938651599,DOWNTOWN CORE
"150 ORCHARD ROAD, SINGAPORE 238841",Retail,Large,No,1982.0,2017.0,GoldPlus,Yes,22331.0,0.8696878778379831,90.0,,Water Cooled Chilled Water Plant,3.0,0.52,2017.0,95.0,N,244.91242308897947,213.06161255653575,217.5689118266087,Worsened,Top Quartile,Y,238841,1.30125729409965,103.841150144584,ORCHARD
"33 MAUDE ROAD, SINGAPORE 208344",Office,Small,No,1919.0,,,No,1459.0,0.7217272104180946,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,80.0,N,117.505305003427,109.57760109664153,125.12122686771761,Worsened,Top Quartile,Y,208344,1.30743688049676,103.858683928644,KALLANG
"9 OXLEY RISE, SINGAPORE 238697",Office,Small,No,1996.0,,,No,7387.0,0.4962772438066874,100.0,,"Others (Split Units, Unitary Systems)",3.0,,,100.0,N,132.85589413835115,114.12749830783811,104.68382834709624,Improved,Top Quartile,Y,238697,1.29908214123072,103.842119698376,MUSEUM
"90 GOODMAN ROAD, SINGAPORE 439053",Office,Large,Yes,2010.0,,,No,16153.0,0.17600445737633877,100.0,,"Others (Split Units, Unitary Systems)",6.0,,,0.0,N,112.08404754534762,118.5030960193153,116.6093604903114,Improved,Top Quartile,Y,439053,1.30451422113193,103.884556247496,MARINE PARADE
"383 JALAN BESAR, SINGAPORE 209001",Hotel,Small,No,2012.0,,,No,1898.0,0.7391991570073762,90.0,70.0,"Others (Split Units, Unitary Systems)",7.0,,,93.0,N,271.8698998946259,261.8445626975764,194.10659114857745,Improved,2nd Quartile,Y,209001,1.31322431326317,103.859699528832,KALLANG
"9 TAMPINES GRANDE, SINGAPORE 528735",Office,Large,No,2009.0,2018.0,Platinum,Yes,33599.0,0.7950534242090539,98.0,,Water Cooled Chilled Water Plant,9.0,0.61,2018.0,20.0,N,180.98733593261704,170.36655852852763,165.92819726777583,Improved,2nd Quartile,Y,528735,1.35571330189513,103.941302004065,TAMPINES
"11 TAMPINES CONCOURSE, SINGAPORE 528729",Office,Small,No,2009.0,2018.0,GoldPlus,Yes,11520.0,0.890625,95.0,,"Others (Split Units, Unitary Systems)",8.0,,,20.0,N,215.64187586805556,205.24235069444444,195.51673958333333,Improved,3rd Quartile,Y,528729,1.35590077042404,103.941176103843,TAMPINES
"10 LORONG 9 GEYLANG, SINGAPORE 388758",Private Clinic,Small,No,2005.0,,,No,964.0,0.9439834024896265,85.0,,"Others (Split Units, Unitary Systems)",9.0,,,48.0,N,128.7396265560166,145.0778008298755,140.4356846473029,Improved,Not benchmarked,Y,388758,1.31271705787166,103.876587421908,GEYLANG
"535 CLEMENTI ROAD, SINGAPORE 599489",Polytechnic,Large,No,1963.0,2016.0,GoldPlus,Yes,382189.0,0.4301111879845067,100.0,,Water Cooled Chilled Water Plant,3.0,,,28.0,Y,93.79564299338809,85.87129666212267,82.252699580574,Improved,Not benchmarked,Y,599489,1.33248057179977,103.773305880529,BUKIT TIMAH
"100 BUKIT TIMAH ROAD, SINGAPORE 229899",General Hospital/ Specialist Centre (Public),Large,No,1997.0,,,No,124541.0,0.6386892669883814,90.0,,Water Cooled Chilled Water Plant,10.0,0.99,2014.0,10.0,N,343.54245178952453,343.7728394665211,336.46166322737093,Improved,Not benchmarked,Y,229899,1.31044853153909,103.846650073396,KALLANG
"10 BUANGKOK VIEW, SINGAPORE 539747",Nursing Home,Large,No,1993.0,2015.0,GoldPlus,Yes,171698.0,0.18171440552598167,92.0,,Air Cooled Chilled Water Plant,9.0,,,60.0,N,88.09755937751167,81.52461007117148,71.27205471234376,Improved,Not benchmarked,Y,539747,1.38211579491623,103.884815635642,HOUGANG
"21 TAMPINES AVENUE 1, SINGAPORE 529757",Polytechnic,Large,No,1995.0,2016.0,Platinum,Yes,2865168.0,0.5769769870388054,98.0,,Water Cooled Chilled Water Plant,3.0,0.65,2014.0,1.0,Y,152.152359095059,17.270535445041965,104.93411239078632,Worsened,Not benchmarked,Y,529757,1.34648847859959,103.931669261299,TAMPINES
"1 TELOK BLANGAH RISE, SINGAPORE 098888",Private School,Small,No,2003.0,,,No,6875.0,0.4999272727272727,50.0,60.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,36.31986181818181,31.345717818181818,39.904562909090906,Worsened,Not benchmarked,Y,098888,1.27427494015908,103.82025772579,BUKIT MERAH
"35 ROBINSON ROAD, SINGAPORE 068876",Hotel,Large,No,2014.0,2016.0,Platinum,Yes,7450.0,0.6554362416107382,85.0,134.0,Water Cooled Chilled Water Plant,3.0,,,100.0,N,325.36331543624163,334.76924832214763,328.23642953020135,Improved,Bottom Quartile,Y,068876,1.27992197150836,103.849654790724,DOWNTOWN CORE
"50 STAMFORD ROAD, SINGAPORE 178899",Univerisity,Large,No,2005.0,2014.0,Platinum,Yes,100378.0,0.6944748849349459,100.0,,Water Cooled Chilled Water Plant,1.0,0.53,2015.0,3.0,N,149.69501123184355,144.45997628962522,145.2506824204507,Worsened,Not benchmarked,Y,178899,1.29509045190873,103.850566200283,MUSEUM
"81 VICTORIA STREET, SINGAPORE 188065",Univerisity,Large,No,2005.0,2013.0,Platinum,Yes,22004.0,0.8134884566442465,100.0,,Water Cooled Chilled Water Plant,2.0,0.51,2014.0,4.0,N,141.4458221232503,136.48619614615524,132.84874386475187,Improved,Not benchmarked,Y,188065,1.29687999486476,103.852260737906,ROCHOR
"461 CLEMENTI ROAD, SINGAPORE 599491",Univerisity,Large,No,1999.0,2014.0,GoldPlus,Yes,109862.0,0.7959622071325845,1.0,,Water Cooled Chilled Water Plant,10.0,,,5.0,N,145.37063725400958,144.40643033988096,144.29109246145163,Improved,Not benchmarked,Y,599491,1.32913701690826,103.776185827202,BUKIT TIMAH
"5 HOSPITAL DRIVE, SINGAPORE 169609",Specialist Centre (Public),Large,No,2014.0,2014.0,Platinum,Yes,48432.0,0.7948670300627684,95.0,,Water Cooled Chilled Water Plant,3.0,0.65,2017.0,0.0,N,293.96097621407336,299.87902667657744,306.4561913610836,Worsened,Not benchmarked,Y,169609,1.27858060226671,103.83611944507,BUKIT MERAH
"705 SERANGOON ROAD, SINGAPORE 328127",TCM Clinic,Large,No,2017.0,,,No,28842.0,0.08543096872616324,90.0,1.0,"Others (Split Units, Unitary Systems)",1.0,,,80.0,Y,82.6117640660536,34.04833680049927,72.0074089868941,Worsened,Not benchmarked,Y,328127,1.31799485288765,103.859085390156,KALLANG
"1 HOSPITAL DRIVE, SINGAPORE 169608",General Hospital/ Specialist Centre (Public),Large,No,1981.0,,,No,191873.0,0.699999478821929,100.0,,Water Cooled Chilled Water Plant,20.0,,,40.0,N,586.5990181233267,580.2351555455953,577.5075831409317,Improved,Not benchmarked,Y,169608,1.27854225616614,103.833999393042,BUKIT MERAH
"100 HIGH STREET, SINGAPORE 179434",Office,Large,Yes,2000.0,2017.0,Platinum,Yes,41499.0,0.6567146196293887,100.0,,Water Cooled Chilled Water Plant,1.0,0.63,2015.0,5.0,N,152.5324658425504,141.7294489023832,133.9649871081231,Improved,Top Quartile,Y,179434,1.29067063202429,103.849819680672,DOWNTOWN CORE
"930 YISHUN AVENUE 2, SINGAPORE 769098",Retail,Large,No,1992.0,2017.0,Gold,Yes,34970.0,0.8669716900200172,99.0,,Water Cooled Chilled Water Plant,10.0,0.71,2015.0,95.0,N,498.62406348298543,468.1322419216471,593.6379325135831,Worsened,Bottom Quartile,Y,769098,1.42966770139491,103.83583915076,YISHUN
"401 HAVELOCK ROAD, SINGAPORE 169631",Hotel,Large,No,1971.0,,,No,23554.0,0.9026916871868897,64.0,342.0,Water Cooled Chilled Water Plant,0.0,,,0.0,N,207.14988324700687,208.3711178568396,184.26149358919926,Improved,Top Quartile,Y,169631,1.28821990429676,103.837414946943,SINGAPORE RIVER
"34 JALAN EUNOS, SINGAPORE 419496",Private Clinic,Small,No,1995.0,,,No,1083.0,0.07848568790397045,100.0,,"Others (Split Units, Unitary Systems)",22.0,,,0.0,N,38.81413911060433,30.098799630655588,30.657793167128347,Worsened,Not benchmarked,Y,419496,1.32027515993962,103.90544817983,BEDOK
"2 SIMEI STREET 3, SINGAPORE 529889",General Hospital/ Specialist Centre (Public),Large,No,1998.0,,,No,112778.0,0.7022734930571566,98.0,,Water Cooled Chilled Water Plant,5.0,,,8.0,N,377.40537830446675,365.02495167497204,356.8406692794694,Improved,Not benchmarked,Y,529889,1.34069538167717,103.949421189643,TAMPINES
"501 STIRLING ROAD, SINGAPORE 148951",Private School,Large,No,2005.0,2013.0,GoldPlus,Yes,25000.0,0.76,95.0,,"Others (Split Units, Unitary Systems)",5.0,,,80.0,N,127.77744,109.99652,105.33156,Improved,Not benchmarked,Y,148951,1.29747209380308,103.80092012256,QUEENSTOWN
"143 CECIL STREET, SINGAPORE 069542",Office,Large,No,1989.0,,,No,17306.0,0.866751415693979,95.0,,Water Cooled Chilled Water Plant,15.0,1.05,2011.0,0.0,N,186.53095631572864,173.73186929388652,176.60513752455793,Worsened,2nd Quartile,Y,069542,1.27875862730082,103.848069533957,DOWNTOWN CORE
"41 NAMLY AVENUE, SINGAPORE 267616",Univerisity,Small,No,1988.0,,,No,10063.0,0.1493590380602206,100.0,,Water Cooled Packaged Unit,30.0,,,23.0,N,118.18633111398192,121.91806220808904,140.80357050581338,Worsened,Not benchmarked,Y,267616,1.32601249989021,103.799936154827,BUKIT TIMAH
"1 ORCHARD BOULEVARD, SINGAPORE 248649",Private Clinic,Large,No,1999.0,,,No,18809.0,0.9098304003402626,76.0,,Water Cooled Chilled Water Plant,1.0,,,20.0,N,254.51822319102556,226.85073634961986,230.0218379499176,Worsened,Not benchmarked,Y,248649,1.30336286364963,103.824251960562,ORCHARD
"90 YISHUN CENTRAL, SINGAPORE 768828",General Hospital/ Specialist Centre (Public),Large,No,2010.0,2010.0,Platinum,Yes,103534.0,0.613122259354415,90.0,,Water Cooled Chilled Water Plant,8.0,,,5.0,Y,298.53701277190913,311.2211254273958,310.94523055228234,Improved,Not benchmarked,Y,768828,1.42387760921528,103.837853664332,YISHUN
"11 HOSPITAL DRIVE, SINGAPORE 169610",Specialist Centre (Public),Large,No,1999.0,,,No,16744.0,0.9976708074534162,90.0,,Air Cooled Chilled Water Plant,7.0,,,0.0,N,597.8346602813529,594.7017439082656,582.9171046344959,Improved,Not benchmarked,Y,169610,1.27931051283581,103.83653546255,BUKIT MERAH
"81 KIM KEAT ROAD, SINGAPORE 328836",Specialist Centre (Public),Small,No,1999.0,,,No,11060.0,0.8618444846292947,76.0,,"Others (Split Units, Unitary Systems)",3.0,,,0.0,N,155.15854339963835,151.52606871609404,150.03980650994575,Improved,Not benchmarked,Y,328836,1.32648059531275,103.854441721262,NOVENA
"16 COLLYER QUAY, SINGAPORE 049318",Office,Large,No,1993.0,,,No,38596.0,0.7772826199606176,90.0,,Water Cooled Chilled Water Plant,7.0,0.96,2013.0,0.0,N,253.1461576329153,249.6467639133589,243.18512281065395,Improved,3rd Quartile,Y,049318,1.28424248541962,103.852502853417,DOWNTOWN CORE
"1 NETHERAVON ROAD, SINGAPORE 508502",Hotel,Large,No,2004.0,,,No,22826.0,1.0,82.0,380.0,Water Cooled Chilled Water Plant,12.0,,,55.0,N,239.8627354770875,225.99302111627094,226.05322877420485,Worsened,2nd Quartile,Y,508502,1.39040211480822,103.98606107081,CHANGI
"25 MARINE PARADE, SINGAPORE 449536",Hotel,Large,No,2013.0,2013.0,Certified,Yes,22540.0,0.9477817213842059,83.0,229.0,Water Cooled Chilled Water Plant,3.0,0.66,2018.0,90.0,N,210.56413132209403,207.36896140195208,211.29736069210293,Worsened,Top Quartile,Y,449536,1.30377937020921,103.90291224848,MARINE PARADE
"68 LORONG 16 GEYLANG, SINGAPORE 398889",Office,Small,No,1983.0,,,No,396.0,1.0,60.0,,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,600.4494949494949,540.9040404040404,562.6691919191919,Worsened,Bottom Quartile,Y,398889,1.31039439463407,103.879865700362,GEYLANG
"30 MOSQUE STREET, SINGAPORE 059508",Hotel,Small,No,1996.0,,,No,140.0,1.0,65.0,6.0,"Others (Split Units, Unitary Systems)",8.0,,,100.0,N,617.0169285714286,674.0410714285714,686.9922857142857,Worsened,Bottom Quartile,Y,059508,1.2835968072765,103.845427762368,OUTRAM
"27 PURVIS STREET, SINGAPORE 188604",Office,Small,No,1986.0,,,No,1078.0,0.5797773654916512,100.0,,"Others (Split Units, Unitary Systems)",12.0,,,21.0,N,147.05141947224752,138.38127087198518,140.31095547309835,Worsened,2nd Quartile,Y,188604,1.2962045420753,103.855256705167,DOWNTOWN CORE
"8 ROBINSON ROAD, SINGAPORE 048544",Office,Small,No,1991.0,,,No,4550.0,0.9010989010989011,90.0,,Air Cooled Chilled Water Plant,12.0,1.1,2002.0,20.0,N,176.14045714285714,165.29143076923077,160.18278241758242,Improved,2nd Quartile,Y,048544,1.28225737219454,103.850839372188,DOWNTOWN CORE
"11 MANDALAY ROAD, SINGAPORE 308232",Univerisity,Small,No,2013.0,2015.0,Platinum,Yes,3984.0,0.9859437751004017,80.0,,Water Cooled Packaged Unit,2.0,,,25.0,N,486.03187751004015,2188.1805722891568,2750.3506024096387,Worsened,Not benchmarked,Y,308232,1.32161991390197,103.848863762617,NOVENA
"50 NANYANG AVENUE, SINGAPORE 639798",Univerisity,Large,No,1986.0,2016.0,Platinum,Yes,330436.0,0.4182244147102011,100.0,,Water Cooled Chilled Water Plant,29.0,0.78,2013.0,100.0,Y,650.936560181094,605.128373421782,593.8950768076118,Improved,Not benchmarked,Y,639798,1.34374513337952,103.682693519594,WESTERN WATER CATCHMENT
"405 HAVELOCK ROAD, SINGAPORE 169633",Hotel,Large,No,1973.0,2018.0,Platinum,Yes,37570.0,0.7152781474580783,88.0,615.0,Water Cooled Chilled Water Plant,4.0,0.6,2018.0,47.0,N,239.4462922544583,228.31088368379028,256.2000532339633,Worsened,2nd Quartile,Y,169633,1.28769285607795,103.836160045113,SINGAPORE RIVER
"18 RAFFLES QUAY, SINGAPORE 048582",Retail,Small,No,1973.0,,,No,4833.0,0.03931305607283261,98.0,,"Others (Split Units, Unitary Systems)",3.0,,,30.0,N,623.6206434926546,610.7683116076971,577.7940430374508,Improved,Bottom Quartile,Y,048582,1.28065386814644,103.850412718567,DOWNTOWN CORE
"313 ORCHARD ROAD, SINGAPORE 238895",Retail,Large,No,2009.0,2016.0,Platinum,Yes,39913.0,0.8982537018014181,97.0,,Water Cooled Chilled Water Plant,8.0,0.65,2016.0,84.0,N,534.9553879688322,515.4754716508406,513.4530854608774,Improved,Bottom Quartile,Y,238895,1.30100656917241,103.838246592796,ORCHARD
"50 RAFFLES PLACE, SINGAPORE 048623",Office,Large,No,1982.0,,,No,64277.0,0.9567496927361264,95.0,,Water Cooled Chilled Water Plant,3.0,,,2.0,N,279.30729498887627,269.27193241750547,263.7275230642376,Improved,Bottom Quartile,Y,048623,1.28466506848636,103.852127483288,DOWNTOWN CORE
"1 TAMPINES CENTRAL 5, SINGAPORE 529508",Office,Large,Yes,1997.0,,,No,15551.0,0.8920969712558678,89.0,,Water Cooled Chilled Water Plant,6.0,,,10.0,N,396.6803832550961,401.0067539065012,358.5051990225709,Improved,Bottom Quartile,Y,529508,1.35311433690453,103.943702415776,TAMPINES
"3 BISHAN PLACE, SINGAPORE 579838",Office,Small,Yes,1997.0,,,No,8060.0,0.7866004962779156,100.0,,Air Cooled Chilled Water Plant,6.0,,,10.0,N,783.2579516129032,807.4628833746898,795.8966761786602,Improved,Bottom Quartile,Y,579838,1.34966023765352,103.84918960945,BISHAN
"21 JURONG GATEWAY ROAD, SINGAPORE 608546",Office,Small,Yes,1994.0,,,No,4745.0,0.723709167544784,100.0,,Air Cooled Chilled Water Plant,9.0,,,10.0,N,234.77181454162277,229.54046153846153,227.64923498419392,Improved,3rd Quartile,Y,608546,1.33503600662426,103.739670168956,JURONG EAST
"60 ALBERT STREET, SINGAPORE 189969",Mixed Development,Large,No,1984.0,2015.0,Gold,Yes,25724.0,0.9000544238843103,100.0,,Water Cooled Chilled Water Plant,1.0,0.86,2013.0,45.0,N,204.2411133571762,188.2720416731457,180.78351733789455,Improved,Top Quartile,Y,189969,1.30237807553016,103.853794531128,ROCHOR
"160 ORCHARD ROAD, SINGAPORE 238842",Retail,Large,No,1990.0,,,No,26671.0,0.9033782010423306,100.0,88.0,Water Cooled Chilled Water Plant,14.0,,,42.0,N,212.64715983652658,179.16562933523304,161.09896516816016,Improved,Top Quartile,Y,238842,1.30137135194991,103.840549639251,ORCHARD
"228 ORCHARD ROAD, SINGAPORE 238853",Retail,Small,No,1982.0,,,No,4117.0,0.9958707796939519,100.0,,Water Cooled Packaged Unit,21.0,,,0.0,N,354.9555695895069,299.7202720427496,275.8075297546757,Improved,2nd Quartile,Y,238853,1.30185487953532,103.838486620031,ORCHARD
"100 UPPER CROSS STREET, SINGAPORE 058360",Retail,Small,No,2003.0,,,No,12439.0,0.9188841546748131,100.0,,Water Cooled Chilled Water Plant,9.0,,,39.0,N,291.55518932390066,273.45582442318516,259.9235871050727,Improved,2nd Quartile,Y,058360,1.28521518508963,103.843202911122,OUTRAM
"20 MCCALLUM STREET, SINGAPORE 069046",Office,Small,No,2010.0,2008.0,GoldPlus,Yes,14671.0,0.899188876013905,100.0,,Water Cooled Chilled Water Plant,3.0,0.55,2013.0,0.0,N,183.6577077227183,157.2466225887806,159.6735600845205,Worsened,2nd Quartile,Y,069046,1.27958236092444,103.847918363171,DOWNTOWN CORE
"1 RAFFLES QUAY, SINGAPORE 048583",Office,Large,No,2006.0,2016.0,Platinum,Yes,144109.0,0.9714868606402098,100.0,,District Cooling Plant,8.0,,,26.0,N,282.08709126386645,274.29971584009326,249.89808360338355,Improved,Not benchmarked,Y,048583,1.2815008889802,103.85216045363,DOWNTOWN CORE
"1 NORTH BRIDGE ROAD, SINGAPORE 179094",Office,Large,No,1976.0,2018.0,Platinum,Yes,43000.0,0.9534883720930233,90.0,,Water Cooled Packaged Unit,9.0,,,40.0,N,175.93027744186045,174.06183139534883,164.95144860465115,Improved,2nd Quartile,Y,179094,1.29007279991365,103.849143011775,DOWNTOWN CORE
"145 SYED ALWI ROAD, SINGAPORE 207704",Retail,Large,No,1995.0,,,No,23000.0,0.991304347826087,100.0,,Water Cooled Chilled Water Plant,0.0,,,65.0,N,849.7371913043478,784.7716956521739,732.2801739130434,Improved,Bottom Quartile,Y,207704,1.31053493112425,103.855002052529,KALLANG
"1 BUKIT BATOK CENTRAL LINK, SINGAPORE 658713",Retail,Large,No,1998.0,2013.0,Gold,Yes,24182.0,0.8741212472086676,100.0,,Water Cooled Chilled Water Plant,0.0,0.65,2013.0,75.0,N,478.5367422049458,471.9358407079646,483.4289347448515,Worsened,3rd Quartile,Y,658713,1.35037541626109,103.74912389291,BUKIT BATOK
"22 JALAN MOLEK, SINGAPORE 399541",Hotel,Small,No,1997.0,,,No,702.0,0.4230769230769231,48.0,31.0,"Others (Split Units, Unitary Systems)",20.0,,,0.0,N,128.79584045584045,113.1922792022792,120.66252136752136,Worsened,Top Quartile,Y,399541,1.31170571282088,103.88267622409,GEYLANG
