Building Address,"Building Type
(Office Building, Hotel, Retail Building, Mixed Development)","Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Green Mark Rating,Green Mark Year of Award,"Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Gross Floor Area (m2),"2015 Energy Use Intensity (EUI)
(kWh/m2.yr) ","2016 
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ",Voluntary Disclosure,postal_code,lat,lon,plan_area
"18 MOSQUE STREET, SINGAPORE 059498",Hotel,No,,,Small,1250.0,358.0,266,Y,059498,1.28372763204993,103.844571640916,OUTRAM
"62 UPPER CROSS STREET, SINGAPORE 058353",Hotel,No,,,Small,1447.0,264.0,258,Y,058353,1.28447579893475,103.844305857615,OUTRAM
"134 JALAN BESAR, SINGAPORE 208852",Hotel,No,,,Small,698.0,202.0,198,Y,208852,1.3066864549953,103.856401200652,ROCHOR
"48 MOSQUE STREET, SINGAPORE 059526",Hotel,No,,,Small,3700.0,241.0,254,Y,059526,1.28423978093808,103.844285497766,OUTRAM
"36 SOUTH BRIDGE ROAD, SINGAPORE 058670",Hotel,No,,,Small,513.0,274.0,182,Y,058670,1.28808238524093,103.848499238741,SINGAPORE RIVER
"101 JALAN SULTAN, SINGAPORE 199002",Hotel,No,,,Small,2691.0,131.0,153,Y,199002,1.30317536901555,103.861002449925,ROCHOR
"15 UPPER WELD ROAD, SINGAPORE 207372",Hotel,No,,,Small,450.0,588.0,664,Y,207372,1.30536578514188,103.854840697511,ROCHOR
"38 HONGKONG STREET, SINGAPORE 059677",Hotel,No,,,Small,538.0,202.0,196,Y,059677,1.28732251766856,103.847321956736,SINGAPORE RIVER
"103 BEACH ROAD, SINGAPORE 189704",Hotel,No,,,Small,1998.0,403.0,417,Y,189704,1.29789135120372,103.857093524581,DOWNTOWN CORE
"10 LORONG 18 GEYLANG, SINGAPORE 398793",Hotel,No,,,Small,1277.0,149.0,142,Y,398793,1.31224821746618,103.8804441952,GEYLANG
"28 ANN SIANG ROAD, SINGAPORE 069708",Hotel,No,,,Small,1940.0,223.0,428,Y,069708,1.280761494595,103.845765352032,OUTRAM
"211 SOUTH BRIDGE ROAD, SINGAPORE 058760",Hotel,No,,,Small,695.0,25.0,44,Y,058760,1.28304083761842,103.845955034387,OUTRAM
"51 LAVENDER STREET, SINGAPORE 338710",Hotel,No,,,Small,658.0,280.0,268,Y,338710,1.30980169598624,103.863074069324,KALLANG
"263 BALESTIER ROAD, SINGAPORE 329715",Hotel,No,,,Small,1179.0,243.0,193,Y,329715,1.3220759441627,103.852597252176,NOVENA
"10 LORONG 20 GEYLANG, SINGAPORE 398730",Hotel,No,,,Small,2919.0,247.0,261,Y,398730,1.31223789650035,103.881097105134,GEYLANG
"50 LORONG 18 GEYLANG, SINGAPORE 398824",Hotel,No,,,Small,3360.0,139.0,150,Y,398824,1.31057545201105,103.880589485359,GEYLANG
"400 TELOK BLANGAH ROAD, SINGAPORE 098838",Hotel,No,,,Small,656.0,393.0,366,Y,098838,1.26970676578021,103.813874982098,BUKIT MERAH
"175 ALBERT STREET, SINGAPORE 189970",Hotel,No,,,Small,4075.0,316.0,322,Y,189970,1.30359247101697,103.851186873135,ROCHOR
"21 LORONG 14 GEYLANG, SINGAPORE 398961",Hotel,No,,,Small,2582.0,207.0,224,Y,398961,1.31156056051185,103.879289166879,GEYLANG
"432 PASIR PANJANG ROAD, SINGAPORE 118773",Hotel,No,,,Small,875.0,314.0,357,Y,118773,1.29241376399494,103.768512796805,QUEENSTOWN
"75 WISHART ROAD, SINGAPORE 098721",Hotel,No,,,Small,668.0,246.0,233,Y,098721,1.26992506088362,103.813999733395,BUKIT MERAH
"20 HONGKONG STREET, SINGAPORE 059663",Hotel,No,,,Small,2156.0,370.0,380,Y,059663,1.28789595123916,103.847146351992,SINGAPORE RIVER
"28 PENHAS ROAD, SINGAPORE 208187",Hotel,No,,,Small,1714.0,301.0,310,Y,208187,1.30960103522706,103.862449485483,KALLANG
"183 SELEGIE ROAD, SINGAPORE 188329",Hotel,No,,,Small,2128.0,282.0,249,Y,188329,1.30376527977766,103.849948910168,ROCHOR
"33 MIDDLE ROAD, SINGAPORE 188942",Hotel,No,,,Small,1575.0,336.0,324,Y,188942,1.29692082419683,103.855556158047,DOWNTOWN CORE
"10 LORONG 10 GEYLANG, SINGAPORE 399043",Hotel,No,,,Small,733.0,189.0,176,Y,399043,1.31144110375165,103.877506693246,GEYLANG
"418 PASIR PANJANG ROAD, SINGAPORE 118759",Hotel,No,,,Small,1024.0,280.0,291,Y,118759,1.29220562998617,103.76889162075,QUEENSTOWN
"255 BALESTIER ROAD, SINGAPORE 329710",Hotel,No,,,Small,890.0,199.0,189,Y,329710,1.32197153507327,103.852662163633,NOVENA
"435 BALESTIER ROAD, SINGAPORE 329816",Hotel,No,,,Small,687.0,353.0,302,Y,329816,1.32588742529907,103.848604723907,NOVENA
"418 BALESTIER ROAD, SINGAPORE 329808",Hotel,No,,,Small,841.0,410.0,421,Y,329808,1.32586522424804,103.849620046049,NOVENA
"3 LORONG 10 GEYLANG, SINGAPORE 399037",Hotel,No,,,Small,1524.0,221.0,224,Y,399037,1.31175752552487,103.877769445851,GEYLANG
"20 LORONG 6 GEYLANG, SINGAPORE 399174",Hotel,No,,,Small,2677.0,275.0,262,Y,399174,1.3110103701544,103.876341779073,GEYLANG
"219 JOO CHIAT ROAD, SINGAPORE 427485",Hotel,No,,,Small,2105.0,232.0,170,Y,427485,1.31149499266846,103.901246954391,GEYLANG
"760 UPPER SERANGOON ROAD, SINGAPORE 534629",Hotel,No,,,Small,850.0,344.0,306,Y,534629,1.35405859231097,103.878764405887,HOUGANG
"11 MACKENZIE ROAD, SINGAPORE 228675",Hotel,No,,,Small,518.0,209.0,255,Y,228675,1.30434908677393,103.849908918079,ROCHOR
"17 BALMORAL ROAD, SINGAPORE 259803",Hotel,No,,,Small,1768.0,40.0,44,Y,259803,1.31568887219293,103.832317948898,TANGLIN
"257 JALAN BESAR, SINGAPORE 208930",Hotel,No,,,Small,493.0,177.0,148,Y,208930,1.31019232900635,103.858155061402,KALLANG
"77 GEYLANG ROAD, SINGAPORE 389197",Hotel,No,,,Small,115.0,367.0,401,Y,389197,1.31073851240701,103.872836832475,KALLANG
"39 SYED ALWI ROAD, SINGAPORE 207630",Hotel,No,,,Small,1997.0,137.0,352,Y,207630,1.30689059723955,103.858401642705,ROCHOR
"12 PERAK ROAD, SINGAPORE 208133",Hotel,No,,,Small,1394.0,133.0,134,Y,208133,1.30477736226195,103.853212734493,ROCHOR
"3 VEERASAMY ROAD, SINGAPORE 207309",Hotel,No,,,Small,718.0,157.0,159,Y,207309,1.30782185298182,103.853089988772,ROCHOR
"8 JALAN KUBOR, SINGAPORE 199207",Hotel,No,,,Small,2016.0,234.0,245,Y,199207,1.30405335069647,103.859429082158,ROCHOR
"428 PASIR PANJANG ROAD, SINGAPORE 118769",Hotel,No,,,Small,1015.0,183.0,189,Y,118769,1.29235781840923,103.76860608355,QUEENSTOWN
"34 LORONG 22 GEYLANG, SINGAPORE 398691",Hotel,No,,,Small,1278.0,180.0,189,Y,398691,1.31116644553202,103.881861949719,GEYLANG
"87 VICTORIA STREET, SINGAPORE 188016",Hotel,No,,,Small,2845.0,119.0,89,Y,188016,1.29709983994672,103.852442334393,ROCHOR
"162 TYRWHITT ROAD, SINGAPORE 207581",Hotel,No,,,Small,1954.0,72.0,206,Y,207581,1.31175542013166,103.8606175434,KALLANG
"624 SERANGOON ROAD, SINGAPORE 218223",Hotel,No,,,Small,690.0,87.0,99,Y,218223,1.31570432709021,103.858804799992,KALLANG
"9 LORONG 10 GEYLANG, SINGAPORE 399042",Hotel,No,,,Small,281.0,572.0,512,Y,399042,1.31159166331682,103.877803627436,GEYLANG
"44 ROWELL ROAD, SINGAPORE 207995",Hotel,No,,,Small,107.0,348.0,304,Y,207995,1.30850392590277,103.854724870783,ROCHOR
"210 SOUTH BRIDGE ROAD, SINGAPORE 058759",Hotel,No,,,Small,1906.0,175.0,213,Y,058759,1.2833972658063,103.845702273218,OUTRAM
"41 SEAH STREET, SINGAPORE 188396",Hotel,Yes,Gold,2012.0,Small,3560.0,321.0,339,Y,188396,1.29586713063921,103.855188377984,DOWNTOWN CORE
"407 JALAN BESAR, SINGAPORE 209012",Hotel,No,,,Small,1022.0,153.0,191,Y,209012,1.31379680571776,103.859775931752,KALLANG
"15 MACKENZIE ROAD, SINGAPORE 228677",Hotel,No,,,Small,1117.0,341.0,346,Y,228677,1.30441539574488,103.849800322845,ROCHOR
"180 KITCHENER ROAD, SINGAPORE 208539",Retail,Yes,Platinum,2015.0,Large,65640.0,393.0,385,Y,208539,1.31138865009152,103.856626209616,KALLANG
"11 TANJONG KATONG ROAD, SINGAPORE 437157",Retail,Yes,Gold,2015.0,Large,28938.0,467.0,463,Y,437157,1.31461849889242,103.894738004496,GEYLANG
"810 GEYLANG ROAD, SINGAPORE 409286",Retail,No,,,Large,33782.0,171.0,159,Y,409286,1.31470866320366,103.893508573389,GEYLANG
"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177",Retail,No,,,Large,42262.0,138.0,145,Y,588177,1.34239508820554,103.776468301093,BUKIT TIMAH
"1 JALAN ANAK BUKIT, SINGAPORE 588996",Retail,Yes,Gold,2012.0,Large,25772.0,375.0,379,Y,588996,1.3386316527745,103.778585430975,BUKIT TIMAH
"14 SCOTTS ROAD, SINGAPORE 228213",Retail,Yes,GoldPlus,2014.0,Large,40749.0,322.0,305,Y,228213,1.30730468891062,103.833818438639,ORCHARD
"23 SERANGOON CENTRAL, SINGAPORE 556083",Retail,Yes,Gold,2014.0,Large,87527.0,505.0,506,Y,556083,1.35076935257845,103.872296143862,SERANGOON
"1 PARK ROAD, SINGAPORE 059108",Retail,No,,,Large,44900.0,238.0,210,Y,059108,1.28404487854559,103.842590753293,OUTRAM
"150 ORCHARD ROAD, SINGAPORE 238841",Retail,Yes,GoldPlus,2014.0,Large,22331.0,230.0,245,Y,238841,1.30125729409965,103.841150144584,ORCHARD
"33 SENGKANG WEST AVENUE, SINGAPORE 797653",Retail,Yes,Gold,2015.0,Large,25380.0,617.0,634,Y,797653,1.39131549124709,103.876213231014,SENGKANG
"930 YISHUN AVENUE 2, SINGAPORE 769098",Retail,No,,,Large,34970.0,583.0,499,Y,769098,1.42966770139491,103.83583915076,YISHUN
"1 FARRER PARK STATION ROAD, SINGAPORE 217562",Retail,Yes,Platinum,2011.0,Large,58369.0,280.0,302,Y,217562,1.31275668101216,103.853842188373,ROCHOR
"313 ORCHARD ROAD, SINGAPORE 238895",Retail,Yes,Platinum,2016.0,Large,39913.0,549.0,535,Y,238895,1.30100656917241,103.838246592796,ORCHARD
"160 ORCHARD ROAD, SINGAPORE 238842",Retail,No,,,Large,26671.0,216.0,213,Y,238842,1.30137135194991,103.840549639251,ORCHARD
"145 SYED ALWI ROAD, SINGAPORE 207704",Retail,No,,,Large,23000.0,873.0,850,Y,207704,1.31053493112425,103.855002052529,KALLANG
"1 BUKIT BATOK CENTRAL LINK, SINGAPORE 658713",Retail,Yes,Gold,2013.0,Large,24182.0,490.0,479,Y,658713,1.35037541626109,103.74912389291,BUKIT BATOK
"177 RIVER VALLEY ROAD, SINGAPORE 179030",Retail,No,,,Large,49164.0,377.0,365,Y,179030,0,0,NA
"1 PASIR RIS CENTRAL STREET 3, SINGAPORE 518457",Retail,Yes,Platinum,2015.0,Large,22076.0,322.0,573,Y,518457,1.37228761596577,103.949733905672,PASIR RIS
"290 ORCHARD ROAD, SINGAPORE 238859",Retail,No,,,Large,94403.0,442.0,423,Y,238859,1.30400640416679,103.835978860567,ORCHARD
"3155 COMMONWEALTH AVENUE WEST, SINGAPORE 129588",Retail,No,,,Large,20089.0,924.0,922,Y,129588,1.31555354277949,103.764596439304,CLEMENTI
"180 BENCOOLEN STREET, SINGAPORE 189646",Retail,No,,,Large,29796.0,139.0,136,Y,189646,1.30166188823652,103.853356123694,ROCHOR
"865 MOUNTBATTEN ROAD, SINGAPORE 437844",Retail,No,,,Large,16871.0,354.0,357,Y,437844,1.30382040183737,103.901040040407,MARINE PARADE
"435 ORCHARD ROAD, SINGAPORE 238877",Retail,No,,,Large,40064.0,341.0,355,Y,238877,1.30369890679412,103.833189592785,ORCHARD
"3A RIVER VALLEY ROAD, SINGAPORE 179020",Retail,No,,,Large,34009.0,507.0,523,Y,179020,1.29031709810864,103.844960579846,SINGAPORE RIVER
"149 ROCHOR ROAD, SINGAPORE 188425",Retail,No,,,Large,16747.0,255.0,259,Y,188425,1.30151258571919,103.854497235401,ROCHOR
"176 ORCHARD ROAD, SINGAPORE 238843",Retail,No,,,Large,53196.0,284.0,264,Y,238843,1.30151446722773,103.840054426935,ORCHARD
"1 JELEBU ROAD, SINGAPORE 677743",Retail,Yes,Gold,2013.0,Large,22998.0,618.0,622,Y,677743,1.38052239451717,103.764051414862,BUKIT PANJANG
"163 TANGLIN ROAD, SINGAPORE 247933",Retail,No,,,Large,21267.0,554.0,543,Y,247933,1.30485342102105,103.823883490852,ORCHARD
"201 VICTORIA STREET, SINGAPORE 188067",Retail,Yes,Platinum,2012.0,Large,27629.0,532.0,539,Y,188067,1.29963881014497,103.854304640923,ROCHOR
"1 TURF CLUB AVENUE, SINGAPORE 738078",Retail,No,,,Large,210427.0,170.0,175,Y,738078,1.42203453745817,103.759210217078,SUNGEI KADUT
"50 EAST COAST ROAD, SINGAPORE 428769",Retail,No,,,Large,79471.0,173.0,169,Y,428769,1.30335696401522,103.904685504029,MARINE PARADE
"170 UPPER BUKIT TIMAH ROAD, SINGAPORE 588179",Retail,Yes,Gold,2014.0,Large,29985.0,135.0,138,Y,588179,1.34332078949297,103.775854160806,BUKIT TIMAH
"604 SEMBAWANG ROAD, SINGAPORE 758459",Retail,Yes,Gold,2016.0,Large,18394.0,554.0,559,Y,758459,1.44185307934021,103.824970378482,SEMBAWANG
"9 BISHAN PLACE, SINGAPORE 579837",Retail,Yes,Platinum,2012.0,Large,41922.0,516.0,520,Y,579837,1.35031600039774,103.848496645294,BISHAN
"1 JOO CHIAT ROAD, SINGAPORE 420001",Retail,No,,,Large,25347.0,287.0,268,Y,420001,1.31587653400999,103.898378099316,GEYLANG
"2 SERANGOON ROAD, SINGAPORE 218227",Retail,No,,,Large,21233.0,381.0,364,Y,218227,1.30512222179237,103.851438822181,ROCHOR
"1 EXPO DRIVE, SINGAPORE 486150",Retail,No,,,Large,170288.0,125.0,129,Y,486150,1.33559509073581,103.960988706454,TAMPINES
"30 SEMBAWANG DRIVE, SINGAPORE 757713",Retail,No,,,Large,21654.0,424.0,548,Y,757713,1.44823113453257,103.819523749458,SEMBAWANG
"60 ORCHARD ROAD, SINGAPORE 238889",Retail,Yes,Gold,2011.0,Large,53609.0,243.0,234,Y,238889,1.29940239409636,103.845516022173,MUSEUM
"68 ORCHARD ROAD, SINGAPORE 238839",Retail,Yes,Gold,2012.0,Large,70955.0,417.0,415,Y,238839,1.30082071769235,103.845067272938,MUSEUM
"268 ORCHARD ROAD, SINGAPORE 238856",Retail,No,,,Large,16971.0,93.0,127,Y,238856,1.30289565860158,103.83692040228,ORCHARD
"21 CHOA CHU KANG AVENUE 4, SINGAPORE 689812",Retail,Yes,Gold,2012.0,Large,30405.0,591.0,599,Y,689812,1.38506836476439,103.744950378814,CHOA CHU KANG
"1 WOODLANDS SQUARE, SINGAPORE 738099",Retail,Yes,Platinum,2011.0,Large,58450.0,486.0,476,Y,738099,1.43622867995805,103.786349823084,WOODLANDS
"5 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486038",Retail,Yes,GoldPlus,2011.0,Large,28463.0,522.0,490,Y,486038,1.33408359331373,103.962946083391,TAMPINES
"1 VISTA EXCHANGE GREEN, SINGAPORE 138617",Retail,Yes,Gold,2009.0,Large,62000.0,365.0,348,Y,138617,1.30695082420353,103.788287276561,QUEENSTOWN
"200 TURF CLUB ROAD, SINGAPORE 287994",Retail,No,,,Large,90517.0,211.0,210,Y,287994,1.33759373277131,103.793707423659,BUKIT TIMAH
"1 JURONG WEST CENTRAL 2, SINGAPORE 648886",Retail,Yes,Gold,2016.0,Large,51095.0,514.0,510,Y,648886,1.33945200436319,103.706685012654,JURONG WEST
"301 UPPER THOMSON ROAD, SINGAPORE 574408",Retail,No,,,Large,29413.0,463.0,464,Y,574408,1.35479914752227,103.831000988686,BISHAN
"2 JURONG EAST CENTRAL 1, SINGAPORE 609731",Retail,Yes,Platinum,2016.0,Large,29433.0,623.0,643,Y,609731,1.33332312550425,103.740187071348,JURONG EAST
"4 TAMPINES CENTRAL 5, SINGAPORE 529510",Retail,Yes,Gold,2013.0,Large,47065.0,563.0,570,Y,529510,1.35267232210231,103.944387981063,TAMPINES
"50 JURONG GATEWAY ROAD, SINGAPORE 608549",Retail,Yes,Platinum,2013.0,Large,108169.0,350.0,347,Y,608549,1.3325523295069,103.743262234833,JURONG EAST
"304 ORCHARD ROAD, SINGAPORE 238863",Retail,Yes,Platinum,2015.0,Large,46816.0,348.0,349,Y,238863,1.30448579105197,103.833941935117,ORCHARD
"83 PUNGGOL CENTRAL, SINGAPORE 828761",Retail,Yes,GoldPlus,2015.0,Large,50399.0,7.0,496,Y,828761,1.4064128346795,103.902188891645,PUNGGOL
"845 GEYLANG ROAD, SINGAPORE 400845",Retail,No,,,Large,19000.0,263.0,250,Y,400845,1.31639445681762,103.894359081999,GEYLANG
"112 EAST COAST ROAD, SINGAPORE 428802",Retail,No,,,Large,26140.0,493.0,481,Y,428802,1.30522461599039,103.905101873935,MARINE PARADE
"33 LORONG 12 GEYLANG, SINGAPORE 399007",Retail,No,,,Small,400.0,370.0,372,Y,399007,1.3102273446243,103.878806728685,GEYLANG
"805 BUKIT TIMAH ROAD, SINGAPORE 279883",Retail,No,,,Small,1323.0,318.0,326,Y,279883,1.33143049540259,103.79500253329,BUKIT TIMAH
"557 BUKIT TIMAH ROAD, SINGAPORE 269694",Retail,No,,,Small,2250.0,404.0,431,Y,269694,1.32304666837659,103.811160666737,BUKIT TIMAH
"180 ORCHARD ROAD, SINGAPORE 238846",Retail,No,,,Small,1715.0,537.0,561,Y,238846,1.30148487514509,103.839139972614,ORCHARD
"23A COLEMAN STREET, SINGAPORE 179806",Retail,No,,,Small,2789.0,139.0,147,Y,179806,1.29255612664997,103.848985573515,MUSEUM
"21 HOUGANG STREET 51, SINGAPORE 538719",Retail,No,,,Small,9899.0,453.0,447,Y,538719,1.37931783499145,103.88784708944,HOUGANG
"70 EU TONG SEN STREET, SINGAPORE 059805",Retail,No,,,Small,4993.0,389.0,372,Y,059805,1.28485600695181,103.843524943796,OUTRAM
"587 BUKIT TIMAH ROAD, SINGAPORE 269707",Retail,No,,,Small,4562.0,688.0,674,Y,269707,1.32383369976841,103.810002032513,BUKIT TIMAH
"600 LORONG 4 TOA PAYOH, SINGAPORE 319515",Retail,No,,,Small,2748.0,592.0,632,Y,319515,1.33403623894465,103.850977706475,TOA PAYOH
"6A STEVENS ROAD, SINGAPORE 257815",Retail,No,,,Small,272.0,73.0,84,Y,257815,1.31189567154432,103.833309746338,NEWTON
"2 LORONG 29 GEYLANG, SINGAPORE 388058",Retail,No,,,Small,1260.0,230.0,157,Y,388058,1.31409425327365,103.885861370179,GEYLANG
"30 RAFFLES AVENUE, SINGAPORE 039803",Retail,Yes,Certified,2007.0,Small,13590.0,505.0,472,Y,039803,1.28967817604306,103.863412595794,DOWNTOWN CORE
"181 UPPER THOMSON ROAD, SINGAPORE 574331",Retail,Yes,Gold,2014.0,Small,578.0,297.0,289,Y,574331,1.35068956297742,103.835727906424,BISHAN
"205 HOUGANG STREET 21, SINGAPORE 530205",Retail,No,,,Small,13568.0,602.0,584,Y,530205,1.3594966483839,103.885079918915,HOUGANG
"623 CHOA CHU KANG STREET 62, SINGAPORE 680623",Retail,No,,,Small,5659.0,168.0,163,Y,680623,1.39832134529461,103.747344865384,CHOA CHU KANG
"18 RAFFLES QUAY, SINGAPORE 048582",Retail,No,,,Small,4833.0,658.0,624,Y,048582,1.28065386814644,103.850412718567,DOWNTOWN CORE
"228 ORCHARD ROAD, SINGAPORE 238853",Retail,No,,,Small,4117.0,370.0,355,Y,238853,1.30185487953532,103.838486620031,ORCHARD
"100 UPPER CROSS STREET, SINGAPORE 058360",Retail,No,,,Small,12439.0,297.0,292,Y,058360,1.28521518508963,103.843202911122,OUTRAM
"293 HOLLAND ROAD, SINGAPORE 278628",Retail,No,,,Small,3508.0,784.0,743,Y,278628,1.31754555939886,103.785850542515,BUKIT TIMAH
"1 BROOKE ROAD, SINGAPORE 429979",Retail,No,,,Small,5411.0,223.0,225,Y,429979,1.30413915139831,103.903890730119,MARINE PARADE
"190 CLEMENCEAU AVENUE, SINGAPORE 239924",Retail,Yes,Gold,2016.0,Small,11256.0,207.0,160,Y,239924,1.29815265394505,103.844111318107,MUSEUM
"47 PAGODA STREET, SINGAPORE 059206",Retail,No,,,Small,591.0,502.0,525,Y,059206,1.283180643498,103.844486518822,OUTRAM
"202 SERANGOON ROAD, SINGAPORE 218069",Retail,No,,,Small,939.0,288.0,318,Y,218069,1.30892123919978,103.853609276994,ROCHOR
"1 QUEENSWAY, SINGAPORE 149053",Retail,No,,,Small,12977.0,328.0,323,Y,149053,1.28761792586115,103.803391140455,QUEENSTOWN
"441 BALESTIER ROAD, SINGAPORE 329820",Retail,No,,,Small,910.0,144.0,163,Y,329820,1.32595906529294,103.848430314872,NOVENA
"5 KOEK ROAD, SINGAPORE 228796",Retail,No,,,Small,14571.0,305.0,302,Y,228796,1.30199868252287,103.84073976691,ORCHARD
"530 NORTH BRIDGE ROAD, SINGAPORE 188747",Retail,No,,,Small,1576.0,273.0,374,Y,188747,1.29883591544935,103.856129271354,DOWNTOWN CORE
"191 UPPER BUKIT TIMAH ROAD, SINGAPORE 588180",Retail,No,,,Small,2781.0,213.0,266,Y,588180,1.34409909713593,103.774676328827,BUKIT TIMAH
"189 SELEGIE ROAD, SINGAPORE 188332",Retail,No,,,Small,2019.0,295.0,358,Y,188332,0,0,NA
"291 NEW BRIDGE ROAD, SINGAPORE 088756",Retail,No,,,Small,5992.0,403.0,385,Y,088756,1.28189332818051,103.841977656341,OUTRAM
"80 EU TONG SEN STREET, SINGAPORE 059810",Retail,No,,,Small,4059.0,240.0,248,Y,059810,1.28471077015851,103.843197416212,OUTRAM
"2 ALIWAL STREET, SINGAPORE 199895",Retail,No,,,Small,1767.0,148.0,176,Y,199895,1.30186780183715,103.861507444818,ROCHOR
"21 CHOA CHU KANG NORTH 6, SINGAPORE 689578",Retail,No,,,Small,10880.0,621.0,617,Y,689578,1.39708432396576,103.746598000147,CHOA CHU KANG
"548 WOODLANDS DRIVE 44, SINGAPORE 730548",Retail,Yes,Gold,2011.0,Small,11260.0,,467,Y,730548,1.43084006826605,103.793416329134,WOODLANDS
"108 DEPOT ROAD, SINGAPORE 100108",Retail,Yes,Gold,2015.0,Small,10700.0,167.0,164,Y,100108,1.28096680702384,103.810298189643,BUKIT MERAH
"211 HOLLAND AVENUE, SINGAPORE 278967",Retail,No,,,Small,7403.0,441.0,419,Y,278967,1.31025542158588,103.795350441035,QUEENSTOWN
"6 SCOTTS ROAD, SINGAPORE 228209",Retail,No,,,Small,12158.0,451.0,468,Y,228209,1.30585582603508,103.832984356543,ORCHARD
"51 YISHUN CENTRAL 1, SINGAPORE 768794",Retail,No,,,Small,5574.0,580.0,567,Y,768794,1.42991718038493,103.836421473445,YISHUN
"5 TAMPINES STREET 32, SINGAPORE 529284",Retail,No,,,Small,9900.0,143.0,144,Y,529284,1.35430033554002,103.959985126114,TAMPINES
"291 JOO CHIAT ROAD, SINGAPORE 427543",Retail,No,,,Small,1253.0,569.0,519,Y,427543,1.3098709702541,103.902354993065,MARINE PARADE
"218 ORCHARD ROAD, SINGAPORE 238851",Retail,Yes,Gold,2010.0,Small,9700.0,299.0,278,Y,238851,1.30160116957544,103.838868886519,ORCHARD
"21 CUSCADEN ROAD, SINGAPORE 249720",Retail,No,,,Small,5338.0,257.0,245,Y,249720,1.30620284633911,103.827951886588,ORCHARD
"399 YUNG SHENG ROAD, SINGAPORE 610399",Retail,Yes,Gold,2013.0,Small,11820.0,401.0,412,Y,610399,1.33476422515942,103.720460818484,JURONG WEST
"799 NEW UPPER CHANGI ROAD, SINGAPORE 467351",Retail,Yes,Gold,2014.0,Small,12412.0,385.0,376,Y,467351,0,0,NA
"27 BENDEMEER ROAD, SINGAPORE 330027",Retail,No,,,Small,2070.0,712.0,728,Y,330027,1.31883815362848,103.862815823199,KALLANG
"87 SCIENCE PARK DRIVE, SINGAPORE 118260",Retail,No,,,Small,6100.0,45.0,66,Y,118260,1.28774358639098,103.790369856119,QUEENSTOWN
"10 JALAN SERENE, SINGAPORE 258748",Retail,No,,,Small,3838.0,366.0,378,Y,258748,1.32259059908733,103.81369629522,TANGLIN
"11 RIVERVALE CRESCENT, SINGAPORE 545082",Retail,No,,,Small,10149.0,796.0,738,Y,545082,1.39221732695142,103.904473070943,SENGKANG
"2 ORCHARD LINK, SINGAPORE 237978",Retail,No,,,Small,13102.0,369.0,363,Y,237978,1.30106463675593,103.835784682851,ORCHARD
"3501 JALAN BUKIT MERAH, SINGAPORE 159460",Retail,No,,,Small,5003.0,188.0,216,Y,159460,1.28348433174779,103.818267800134,BUKIT MERAH
"1 MAJU AVENUE, SINGAPORE 556679",Retail,No,,,Small,5312.0,750.0,717,Y,556679,1.3652806057289,103.865101220515,SERANGOON
"470 NORTH BRIDGE ROAD, SINGAPORE 188735",Retail,No,,,Small,6188.0,225.0,268,Y,188735,1.2981408343975,103.855635339249,DOWNTOWN CORE
"370 ALEXANDRA ROAD, SINGAPORE 159953",Retail,No,,,Small,9544.0,590.0,583,Y,159953,1.28901158945676,103.805330963707,QUEENSTOWN
"30 VICTORIA STREET, SINGAPORE 187996",Retail,Yes,Certified,2015.0,Small,14790.0,484.0,535,Y,187996,1.29479670956332,103.852573366033,DOWNTOWN CORE
"42 UPPER EAST COAST ROAD, SINGAPORE 455213",Retail,No,,,Small,1829.0,280.0,288,Y,455213,1.31257133681116,103.927002398803,BEDOK
"3151 COMMONWEALTH AVENUE WEST, SINGAPORE 129581",Retail,No,,,Small,4325.0,480.0,420,Y,129581,1.31427043922294,103.765147487482,CLEMENTI
"31 OCEAN WAY, SINGAPORE 098375",Retail,Yes,Platinum,2012.0,Small,5729.0,582.0,593,Y,098375,1.24707037485673,103.842196112807,SOUTHERN ISLANDS
"45 SCIENCE PARK ROAD, SINGAPORE 117407",Retail,No,,,Small,2159.0,0.0,78,Y,117407,1.28742993048991,103.782688324656,QUEENSTOWN
"780 UPPER SERANGOON ROAD, SINGAPORE 534649",Retail,No,,,Small,729.0,441.0,425,Y,534649,1.35450868269668,103.879280958773,HOUGANG
"711 EAST COAST ROAD, SINGAPORE 459065",Retail,No,,,Small,713.0,212.0,198,Y,459065,1.31215597307352,103.922513609429,BEDOK
"511 CANBERRA ROAD, SINGAPORE 750511",Retail,No,,,Small,5345.0,483.0,494,Y,750511,1.45384518981322,103.819543344305,SEMBAWANG
"1 JALAN BERSEH, SINGAPORE 209037",Retail,No,,,Small,8625.0,321.0,325,Y,209037,1.30740644951859,103.85747836874,ROCHOR
"34 CRAIG ROAD, SINGAPORE 089673",Retail,No,,,Small,4828.0,255.0,256,Y,089673,0,0,NA
